temporada,sitio_type,sitio_id,hora,NDVI,dia,BI,ACI,cantos,Luz,Temp
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,5,NA,1495.116652,NA,0,23.29
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,6,1.684464932,1416.057861,0,0,22.43
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,7,13.70609417,1554.90556,9,0,24.02
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,8,6.231093085,1484.02031,0,0,21.92
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,9,7.609087278,1406.325467,0,0,22.18
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,10,8.450171985,1435.917829,3,0,22.18
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,11,7.672777207,NA,0,0,22.09
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,12,13.31261755,1381.088189,19,0,21.66
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,13,11.23373793,1387.60211,2,0,22.18
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,14,11.21360626,1743.350006,0,0,23.94
1-june-july,Barranca,Barranca 1,05:25:00,0.317215651,15,9.783434351,1457.260718,0,0,22.56
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,1,6.749900532,1515.121234,0,0,22.69
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,2,15.67751127,1394.594236,3,0,21.75
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,3,9.38929965,1420.707636,1,0,22.09
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,4,8.988316437,1417.410798,3,0,23.98
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,5,NA,1412.350401,NA,0,23.29
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,6,4.385143653,1381.170398,0,0,22.43
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,7,13.82744412,1597.817832,11,0,23.76
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,8,3.971258528,1486.777352,0,0,21.88
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,9,7.627992681,1412.251205,0,0,22.18
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,10,7.797678064,1470.681826,1,0,22.26
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,11,6.691594379,NA,0,0,22.01
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,12,8.798707848,1377.361958,15,0,21.58
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,13,11.43040222,1393.341773,11,0,22.18
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,14,12.55915578,2286.919426,21,0,23.89
1-june-july,Barranca,Barranca 1,05:30:00,0.317215651,15,6.991137301,1451.43145,0,0,22.65
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,1,7.143438806,1501.978157,0,0,22.82
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,2,14.21511727,1406.202909,2,0,21.79
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,3,10.11322166,1426.851598,10,0,22.09
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,4,8.770560855,1392.983422,5,0,24.02
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,5,NA,1365.977895,NA,0,23.21
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,6,3.500660561,1388.600002,0,0,22.48
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,7,10.14471045,1646.393528,3,0,23.59
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,8,4.456597621,1470.399498,0,0,21.83
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,9,9.18199992,1459.27041,0,0,22.18
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,10,11.94963704,1474.962596,4,0,22.22
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,11,8.028618313,NA,0,0,21.96
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,12,7.51821054,1381.437655,0,0,21.62
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,13,12.91462604,1435.151112,36,0,22.13
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,14,11.25636907,2095.117396,7,0,23.85
1-june-july,Barranca,Barranca 1,05:35:00,0.317215651,15,6.36921864,1493.736029,0,0,22.56
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,1,6.534747303,1502.318294,0,0,22.91
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,2,10.67429182,1443.785519,3,0,21.79
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,3,10.8323623,1433.296965,13,0.2,22.05
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,4,10.33631859,1397.054436,0,0,23.94
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,5,NA,1384.565406,NA,0,23.21
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,6,2.379358884,1394.211892,0,0,22.43
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,7,9.863275282,1524.092795,7,0,23.68
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,8,5.563345023,1481.557594,0,0,21.79
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,9,9.316380541,1490.88505,0,0,22.13
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,10,8.742053394,1482.58531,0,0,22.22
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,11,8.846866358,NA,0,0,21.92
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,12,9.252042805,1383.750701,2,0,21.53
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,13,8.678103091,1473.683117,4,0,22.09
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,14,7.222621442,2157.783524,4,0,23.85
1-june-july,Barranca,Barranca 1,05:40:00,0.317215651,15,6.108971805,1484.716217,0,0,22.26
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,1,8.12987643,1474.913812,0,0,22.65
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,2,10.62470121,1424.226719,0,0,21.83
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,3,12.09220721,1456.976201,1,1.02,22.05
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,4,10.78383762,1418.357848,0,0.82,23.89
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,5,NA,1396.906262,NA,0,23.34
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,6,3.134186032,1386.255896,5,0,22.48
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,7,8.869243158,1424.83376,1,0,23.72
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,8,3.727187767,1518.140233,0,0,21.83
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,9,9.521560526,1499.841049,0,0,22.18
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,10,11.79719016,1482.715292,0,0,22.26
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,11,8.999302807,NA,0,0,22.01
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,12,8.680706732,1396.766226,1,0,21.49
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,13,7.410380938,1501.843347,1,0,22.13
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,14,12.84990728,2700.818935,5,0,23.81
1-june-july,Barranca,Barranca 1,05:45:00,0.317215651,15,5.062433093,1458.061838,0,0,22.13
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,1,9.712042752,1457.835628,0,0.41,22.56
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,2,11.88425318,1454.836769,3,0.41,21.83
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,3,13.42527837,1424.428154,1,3.91,22.01
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,4,10.54420384,1432.783249,0,3.29,23.85
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,5,NA,1423.824916,NA,0.2,23.25
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,6,3.992102063,1395.235532,7,0.61,22.43
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,7,11.33376046,1441.280952,0,0.61,23.68
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,8,4.683330011,1515.212152,0,0,21.83
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,9,9.214758438,1512.490339,0,0,22.18
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,10,8.606303658,1489.401565,4,0,22.26
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,11,9.521724247,NA,3,0.2,22.01
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,12,9.025966028,1406.783685,0,0.2,21.45
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,13,8.995341987,1479.851283,0,0.2,22.09
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,14,7.907117124,2247.132618,1,0,23.81
1-june-july,Barranca,Barranca 1,05:50:00,0.317215651,15,10.38547704,1434.24265,0,0,22.18
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,1,8.485368473,1496.511401,0,1.23,22.65
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,2,11.89672861,1543.533412,5,1.44,21.79
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,3,12.21701636,1447.53216,0,11.58,22.01
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,4,9.269650266,1485.793775,5,9.29,23.76
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,5,NA,1458.86284,NA,1.44,23.16
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,6,3.685021775,1465.130586,6,3.08,22.39
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,7,10.39663403,1419.799245,5,2.47,23.72
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,8,4.490863909,1516.307002,0,0,21.7
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,9,7.06394397,1499.62515,0,0,22.18
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,10,11.65661031,1451.049744,28,0.41,22.18
1-june-july,Barranca,Barranca 1,05:55:00,0.317215651,11,11.23551217,NA,1,1.02,21.96
